,bill_num,date,bill_id,title,year,link,raw_text
            a paragraph to read     13a09   penalties   (a)  notice of alleged noncompliance            (1 1)  in the case of a principal or lobbying firm, the notice shall be delivered to the
            authorized representative, employee or agent          (c)  negligent failure to register or report     (1)  negligent failure to register or report as required by this chapter is punishable
            by an administrative penalty not exceeding   50 for each late day   the following   (i)  for the first 10 late days,  50 for each late day   (ii)  for each late day after the first 10 late days through the 20th late day,  100 for
            each late day   (iii)  for each late day after the first 20 late days,  200 for each late day          20180002u5s  section 5   section 13a10(c) of title 65 is amended to read     13a10   registration fees  fund established  system  regulations          (c)  computerized filing system   the department shall implement a fully accessible system
            to accommodate the use of computerized filing   each registrant shall elect on an
            annual basis whether the registrant will file all of the documents required by this
            chapter either electronically or on paper with the department   the department shall post all filings on its  publicly accessible internet website within seven days of  receipt of the filing          20180002u6s  section 6   this act shall take effect as follows   (1)  the amendment or addition of 65 pa c s     13a03, 13a04(a), (b)(1), (d) and (e)(1),
            13a05(a), (b)(4), (6) and (8) and (d), 13a08(k) and 13a09(a)(1 1) shall take effect
            in 60 days   (2)  the remainder of this act shall take effect immediately     approved  the 14th day of february, a d  2018     tom wolf   "
2,3,Feb 15,HB 359,"Game and Wildlife Code (34 Pa.C.S.) - powers and duties of enforcement officers, suspension of privileges pending payment of penalties, killing game or wildlife by mistake and period of revocation 					
                         (effective 60 DAYS)",2018,https://www.legis.state.pa.us//WU01/LI/LI/US/HTM/2018/0/0003..HTM,"       game and wildlife code (34 pa c s )   powers and duties of enforcement officers, suspension
                     of privileges pending payment of penalties, killing game or wildlife by mistake and
                     period of revocation       act of feb  15, 2018,
                  p l  6,
                  no  3  cl  34    20180003ua  session of 2018  no  2018 3    hb 359    an act    amending title 34 (game) of the pennsylvania consolidated statutes, in enforcement,
            further providing for powers and duties of enforcement officers and for suspension
            of privileges pending payment of penalties  in hunting and furtaking, further providing
            for killing game or wildlife by mistake  and, in hunting and furtaking licenses, further
            providing for period of revocation     the general assembly of the commonwealth of pennsylvania hereby enacts as follows     20180003u1s  section 1   sections 901(b 1), 930 and 2306(a) and (b) of title 34 of the pennsylvania consolidated
            statutes are amended to read     901   powers and duties of enforcement officers          (b 1)  exception to the prohibition of interception and disclosure of communications   an
            officer whose duty it is to enforce this title and who has received training on the
            use of  body cameras  an electronic, mechanical or other device which has been approved under 18 pa c s 
                 5706(b)(4) (relating to exceptions to prohibitions in possession, sale, distribution,
               manufacture or advertisement of electronic, mechanical or other devices) in a course approved by the pennsylvania state police shall be  defined as a law
            enforcement officer for the purpose of 18 pa c s    5704(16)(iii) (relating to exceptions
            to prohibition of interception and disclosure of communications)  an investigative or law enforcement officer as defined under 18 pa c s    5702 (relating
               to definitions)   such officers may wear  body cameras  an electronic, mechanical or other device in the performance of their official duties  this subsection shall not apply to a
            deputy game commission officer or deputy wildlife conservation officer            930   suspension of privileges pending payment of penalties    all  (a)  general rule   notwithstanding subsection (b), all privileges granted by this title shall automatically be suspended if a defendant
            fails to respond to a citation or summons within 60 days or fails to pay all penalties
            in full within 180 days following conviction   (b)  payment plan   if a defendant is enrolled in a payment plan to repay penalties mandated
            by a court of competent jurisdiction and the defendant is making regular payments
            in accordance with the court's mandate, the privileges of this title may not be suspended     2306   killing game or wildlife by mistake   (a)  general rule   any person who, while hunting or trapping for game or wildlife which
            may be lawfully taken, by accident or mistake kills or attempts to kill any game or
            wildlife other than  bears, elk or  threatened or endangered species, contrary to
            the provisions of this title, shall pay restitution pursuant to subsection (b) to
            an officer of the commission   (b)  restitution   restitution for killing or an attempted killing by accident or mistake
            shall be as follows   (1)  each deer    25   (2)  each turkey    20   (3)  each other wild bird or wild animal, other than  a bear, elk or  an endangered or
            threatened species    15   (4)  each bear    100   (5)  each elk    100          20180003u2s  section 2   section 2742 of title 34 is amended by adding a subsection to read     2742   period of revocation          (c)  clemency from revocation   the commission shall not revoke the privilege to hunt or
            take game or wildlife anywhere in this commonwealth for an unlawful taking or possession
            of game or wildlife violation if all of the following conditions are met   (1)  the unlawful taking or possession of game or wildlife violation is the person's first
            unlawful taking or possession of game or wildlife offense   (2)  the person complies with all of the procedural requirements set forth in section 2306(c)(1),
            (2) or (3) (relating to killing game or wildlife by mistake) concerning removal of
            entrails, tagging, reporting, delivery of carcass and providing a written, sworn statement   (3)  the unlawful taking of game or wildlife violation occurs during   (i)  an open season within the applicable wildlife management unit for the species involved 
            or  (ii)  a closed season within the applicable wildlife management unit for the species involved,
            but only if there was an open season within an adjacent wildlife management unit for
            the same species   (4)  the person pleads guilty to the applicable unlawful taking or possession of game or
            wildlife violation charged   (5)  the unlawful taking or possession of game or wildlife violation does not involve a
            threatened or endangered species   (6)  there are no relevant aggravating circumstances present concerning the unlawful taking
            or possession of game or wildlife violation   20180003u3s  section 3   this act shall take effect in 60 days     approved  the 15th day of february, a d  2018     tom wolf   "
3,4,Feb 15,HB 1602,"Multiple designations in multiple counties - designation 					
                         (effective 60 DAYS)",2018,https://www.legis.state.pa.us//WU01/LI/LI/US/HTM/2018/0/0004..HTM,"       multiple designations in multiple counties   designation       act of feb  15, 2018,
                  p l  8,
                  no  4  cl  87    20180004ua  an act    designating a bridge on that portion of state route 1008 over the codorus creek in
            east manchester township and hellam township, york county, as the spc martin wilson
            kondor memorial bridge  designating a bridge to be constructed on that portion of
            state route 119 over the pine run creek, rayne township, indiana county, as the pfc
            frank enzer weiss united states marine corps bridge  designating the bridge on state
            route 125 before ridge road in pitman, schuylkill county, as the abner yoder memorial
            bridge  designating a portion of state route 562 in berks county as the general carl
            a  spaatz memorial highway  designating portions of interstate route 176 in new morgan
            borough, caernarvon township, robeson township and cumru township, berks county, as
            the vietnam war veterans memorial highway, the persian gulf war veterans memorial
            highway and the iraq and afghanistan war veterans memorial highway  and designating
            a portion of pennsylvania route 611 beginning at mile marker 391 and ending at the
            pennsylvania route 940 intersection, monroe county, as the roy j  gross, sr , memorial
            highway     the general assembly of the commonwealth of pennsylvania hereby enacts as follows     20180004u1s  section 1   spc martin wilson kondor memorial bridge   (a)  findings   the general assembly finds and declares as follows   (1)  spc martin wilson kondor, a united states army specialist, was killed in action at
            age 20 while serving in baqubah, iraq, on april 29, 2004   (2)  the personal security detail on which spc kondor served was surrounded in a crossfire
            attack while he was an m240 gunner assigned to headquarters company, 3rd brigade,
            1st infantry division, in support of operation iraqi freedom   (3)  spc kondor demonstrated personal courage and technical expertise in the face of a
            determined enemy during a devastating ambush  his bravery and valor under fire saved
            the lives of his fellow soldiers   (4)  in recognition of his service, spc kondor was awarded the bronze star medal with the
            ""v"" device and the purple heart   (b)  designation   the bridge located on state route 1008 over the codorus creek in east
            manchester township and hellam township, york county, is designated as the spc martin
            wilson kondor memorial bridge   (c)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the bridge to traffic in both directions on the bridge   20180004u2s  section 2   pfc frank enzer weiss united states marine corps bridge   (a)  findings   the general assembly finds and declares as follows   (1)  pfc frank enzer weiss, a native of tanoma, served in the united states marine corps
            g company, 2nd battalion, 4th marines, 3rd marine division, iii marine amphibious
            force   (2)  on march 18, 1968, pfc weiss, 19 years of age, was killed in action by hostile fire
            in quang tri province, south vietnam   (3)  pfc weiss was awarded the purple heart, national defense service medal, vietnam campaign
            medal and vietnam service medal   (b)  designation   the bridge to be constructed on state route 119 over the pine run creek
            in rayne township, indiana county, is designated as the pfc frank enzer weiss united
            states marine corps bridge   (c)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the bridge to traffic in both directions on the bridge   20180004u3s  section 3   abner yoder memorial bridge   (a)  findings   the general assembly finds and declares as follows   (1)  abner yoder graduated from hegins high school in 1936, was active in his local church
            and played on the pitman's farmers baseball team   (2)  on july 18, 1941, he joined the united states army air corps and rose to the level
            of technical sergeant by august 1943   (3)  during his time in the air corps, he traveled to australia, where he met his fianc e
            and joined a combat crew which flew missions on a b 52   (4)  on february 17, 1944, the plane he was on with his crew had engine troubles and attempted
            to return to the base but stalled and crashed  the entire crew, including abner yoder,
            was killed in the plane crash   (5)  abner yoder was 26 at the time of his death, and he was buried at the manila american
            cemetery in manila, philippines, near other fallen members of the armed forces   (b)  designation   the bridge on state route 125 before ridge road in pitman, schuylkill
            county, is designated as the abner yoder memorial bridge   (c)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the bridge to traffic in both directions on the bridge   20180004u4s  section 4   general carl a  spaatz memorial highway   (a)  findings   the general assembly finds and declares as follows   (1)  carl andrew ""tooey"" spaatz was born in boyertown, berks county, on june 28, 1891   (2)  drawn to aviation, after graduating from west point in 1914 and being commissioned
            as a second lieutenant in the infantry, mr  spaatz studied at the aviation school
            at san diego, california   (3)  mr  spaatz served with the 1st aero squadron as a first lieutenant under general john
            ""black jack"" pershing during the punitive expedition into mexico   (4)  after being promoted to captain in may 1917, mr  spaatz served in france with the
            american expeditionary forces during world war i and, as a fighter pilot, shot down
            three german fokker planes behind enemy lines, which earned him the distinguished
            service cross   (5)  mr  spaatz was promoted to major on july 1, 1920, and during the interwar years he
            proceeded up the ranks of a peacetime air corps   (6)  mr  spaatz was awarded the distinguished flying cross for commanding the refueling
            endurance flight of the question mark plane from january 1 through 7, 1929, during
            which the plane broke a record for sustained flight   (7)  after the united states entered into world war ii, in 1942, mr  spaatz was named chief
            of the air force combat command and was sent to england to initiate the planning stages
            for the united states army air forces in europe   (8)  later in 1942, mr  spaatz was named commander of the united states army air forces
            in europe   (9)  in 1943, mr  spaatz commanded the twelfth air force in north africa where his forces
            played a pivotal role in reducing erwin rommel's afrika korps   (10)  in 1944, mr  spaatz returned to england and was named the commanding general of the
            united states strategic air forces in europe   (11)  in this role, mr  spaatz played a key role in operation overlord, more commonly known
            as d day, by directing the allied aerial attacks covering the landings on the beaches
            of normandy   (12)  mr  spaatz also commanded the strategic bombing of germany   (13)  on march 11, 1945, mr  spaatz received a temporary promotion to general and later
            was named commander of the united states strategic air forces in the pacific where
            he supervised the final strategic bombings of japan, including two atomic bomb missions   (14)  mr  spaatz was the only man of general rank or equivalent to attend all three surrender
            ceremonies that ended world war ii   (15)  in 1946, mr  spaatz was named commander in chief of the army air forces, and in 1947
            he was named the first chief of staff of the newly independent united states air force   (16)  mr  spaatz retired from military service in 1948 and passed away on july 14, 1974   (b)  designation   the portion of state route 562 in berks county from the intersection
            with state route 73 in the borough of boyertown to the intersection with state route
            662 at the township line between amity township and oley township is designated as
            the general carl a  spaatz memorial highway   (c)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the highway to traffic in both directions on the highway   20180004u5s  section 5   vietnam war veterans memorial highway   (a)  designation   the section of interstate route 176 in new morgan borough, caernarvon
            township, berks county, from the morgantown interchange of the pennsylvania turnpike
            at mile marker 0 4 to mile marker 3 7 is designated as the vietnam war veterans memorial
            highway   (b)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the highway to traffic in both directions on the highway   20180004u6s  section 6   persian gulf war veterans memorial highway   (a)  designation   the section of interstate route 176 in robeson township, berks county,
            from mile marker 3 7 to mile marker 7 0 is designated as the persian gulf war veterans
            memorial highway   (b)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the highway to traffic in both directions on the highway   20180004u7s  section 7   iraq and afghanistan war veterans memorial highway   (a)  designation   the section of interstate route 176 in robeson township and cumru township,
            berks county, from mile marker 7 0 in robeson township to mile marker 10 3 at or near
            the intersection of u s  route 422 in cumru township is designated as the iraq and
            afghanistan war veterans memorial highway   (b)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the highway to traffic in both directions on the highway   20180004u8s  section 8   roy j  gross, sr , memorial highway   (a)  findings   the general assembly finds and declares as follows   (1)  roy j  gross, sr , dedicated his life to serving his community with distinction and
            honor   (2)  mr  gross dedicated more than 50 years of service to mount pocono borough, including
            34 years on the council, as chairman of the mount pocono municipal authority and serving
            on the police commission for 23 years   (3)  mr  gross was a life member of the pocono mountain volunteer fire company where he
            was a past assistant chief and served on the carnival committee   (4)  mr  gross was also past president of the parents athletic association of the pocono
            mountain school and was constable and a part time police officer in the pocono mountain
            regional police department   (5)  mr  gross received numerous awards for his community service throughout his life,
            including the 2002 citizen of the year award for mount pocono borough   (6)  in addition to his dedication to community, mr  gross was a talented builder and craftsman
            and worked for the family business, ervin w  gross and sons, for more than 50 years 
            after the business closed, he worked for his brother, allen gross, for 10 years until
            he retired in 2013  roy was a lifelong resident of monroe county and loving husband
            to his wife, ruth, with whom he shared 62 years of marriage   (b)  designation   the portion of pennsylvania route 611 beginning at mile marker 391 and
            ending at the pennsylvania route 940 intersection is designated as the roy j  gross,
            sr , memorial highway   (c)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the highway to traffic in both directions on the highway   20180004u9s  section 9   effective date   this act shall take effect in 60 days    "
4,5,Feb 15,HB 1653,"Higher Education Scholarship Law - eligibility for State scholarship 					
                         (effective IMMEDIATELY)",2018,https://www.legis.state.pa.us//WU01/LI/LI/US/HTM/2018/0/0005..HTM,"       higher education scholarship law   eligibility for state scholarship       act of feb  15, 2018,
                  p l  12,
                  no  5  cl  24    20180005ua  session of 2018  no  2018 5    hb 1653    an act    amending the act of january 25, 1966 (1965 p l 1546, no 541), entitled ""an act providing
            scholarships and providing funds to secure federal funds for qualified students of
            the commonwealth of pennsylvania who need financial assistance to attend postsecondary
            institutions of higher learning, making an appropriation, and providing for the administration
            of this act,"" further providing for eligibility for state scholarship     the general assembly of the commonwealth of pennsylvania hereby enacts as follows     20180005u1s  section 1   section 4(a)(6) of the act of january 25, 1966 (1965 p l 1546, no 541), referred to
            as the higher education scholarship law, is amended to read   section 4   (a)  any student is eligible for consideration for a state scholarship providing          (6)  the state scholarship recipient shall be free to attend any approved institution of
            his choice and apply the scholarship toward the tuition, room, board, books and fees
            of that institution    , subject to the following   (i) the institution is not required to accept the scholarship recipient for enrollment,
            but is free to exact compliance with its own admission requirements, standards and
            policies   (ii)  if the institution is headquartered and domiciled through incorporation or charter
            in this commonwealth and the institution is an eligible school, as determined by the
            agency that participates in the program during the 2016 2017 award year, the scholarship
            recipient shall be eligible for the scholarship award regardless of whether the program
            of study or the scholarship recipient's term enrollment is 100  online or blended
            with classroom credits, provided that the scholarship recipient meets all other eligibility
            requirements as provided in this act and as established by the agency   (iii)  if the institution has a physical location in this commonwealth but is not headquartered
            and domiciled through incorporation or charter in this commonwealth, the scholarship
            recipient shall be eligible for a scholarship award, provided that the scholarship
            recipient's program of study is not structured to be more than 50  online or the scholarship
            recipient's online enrollment in a given term does not exceed 50  of the total credits
            for that term as established by the agency, provided that the scholarship recipient
            is enrolled at the institution's physical location in this commonwealth and provided
            that the scholarship recipient meets all other eligibility requirements as provided
            in this act and as established by the agency   (iv)  the agency may require necessary data reporting requirements from participating schools,
            and the agency shall report to the general assembly regarding the impact that online
            education has on the scholarship program under this act  the report shall be submitted
            to the governor, the chair and minority chair of the appropriations committee of the
            senate, the chair and minority chair of the appropriations committee of the house
            of representatives, the chair and minority chair of the education committee of the
            senate and the chair and minority chair of the education committee of the house of
            representatives   (v)  the board of directors may implement the necessary controls, with regard to subclauses
            (ii) and (iii), to limit the impact of online education and protect the purchasing
            power of the scholarship program under this act and as deemed necessary by the agency   (vi)  for the purpose of this clause, ""purchasing power"" shall be a mathematical formula,
            as determined by the agency, that compares the annual amount of the scholarship provided
            for by this act to the average tuition and fees as calculated by the agency          20180005u2s  section 2   the amendment of section 4(a)(6) of the act shall apply not later than the 2018 2019
            award year as determined by the pennsylvania higher education assistance agency   20180005u3s  section 3   this act shall take effect immediately     approved  the 15th day of february, a d  2018     tom wolf   "
5,6,Feb 15,SB 354,"Bureau of Professional and Occupational Affairs - reporting of sanctions and criminal proceedings, suspension and civil penalties 					
                         (effective 60 DAYS)",2018,https://www.legis.state.pa.us//WU01/LI/LI/US/HTM/2018/0/0006..HTM,"       bureau of professional and occupational affairs   reporting of sanctions and criminal
                     proceedings, suspension and civil penalties       act of feb  15, 2018,
                  p l  14,
                  no  6  cl  63    20180006ua  session of 2018  no  2018 6    sb 354    an act    amending the act of july 2, 1993 (p l 345, no 48), entitled ""an act empowering the
            general counsel or his designee to issue subpoenas for certain licensing board activities 
            providing for hearing examiners in the bureau of professional and occupational affairs 
            providing additional powers to the commissioner of professional and occupational affairs 
            and further providing for civil penalties and license suspension,"" further providing
            for definitions  providing for reporting of sanctions and criminal proceedings and
            for suspension  and further providing for civil penalties     the general assembly of the commonwealth of pennsylvania hereby enacts as follows     20180006u1s  section 1   section 1 of the act of july 2, 1993 (p l 345, no 48), entitled ""an act empowering
            the general counsel or his designee to issue subpoenas for certain licensing board
            activities  providing for hearing examiners in the bureau of professional and occupational
            affairs  providing additional powers to the commissioner of professional and occupational
            affairs  and further providing for civil penalties and license suspension,"" is amended
            by adding definitions to read   section 1   definitions   the following words and phrases when used in this act shall have the meanings given
            to them in this section unless the context clearly indicates otherwise          ""expunge"" or ""expungement ""  removal of a disciplinary record, accomplished by   (1) permanently sealing the affected record from public  access    (2) deeming the proceedings to which the affected record  refers as not having occurred   and  (3)  except with respect to any subsequent application for expungement, affording the affected
               party the right to represent that no record exists regarding the subject matter of
               the affected record   ""licensee ""  any person holding a license, registration, certificate or permit with a licensing
            board or commission under the bureau of professional and occupational affairs in the
            department of state          20180006u2s  section 2   the act is amended by adding sections to read   section 2 1   reporting of sanctions and criminal proceedings   (a)  duty   a licensee, as a condition of licensure, certification, registration or holding
            a permit, shall provide written notice of the following to the appropriate licensing
            board or commission within 30 days   (1)  a disciplinary action taken against the licensee by a licensing agency of another
            jurisdiction   (2)  a finding or verdict of guilt, an admission of guilt, a plea of nolo contendere, probation
            without verdict, a disposition in lieu of trial or an accelerated rehabilitative disposition
            of any felony or misdemeanor offense   (b)  sanctions   a licensing board or licensing commission may take disciplinary action
            against a licensee who violates this section   section 3 1   suspension   (a)  temporary suspension   a licensing board or commission may temporarily suspend a license,
            certificate, registration or permit under circumstances as determined by the board
            or commission to be an immediate and clear danger to public health and safety  the
            licensing board or commission shall issue an order to that effect without a hearing,
            but upon due notice, to the licensee concerned at the licensee's last known address,
            which shall include a written statement of all allegations against the licensee  after
            issuing the order, the licensing board or commission shall commence formal action
            to suspend, revoke or restrict the license, certificate, registration or permit of
            the person concerned as otherwise provided for by law  all actions shall be taken
            promptly and without delay   (b)  hearing   within 30 days following the issuance of an order of temporary suspension,
            the licensing board or commission shall conduct or cause to be conducted a preliminary
            hearing to determine whether there is a prima facie case supporting the suspension 
            the licensee whose license, certificate, registration or permit has been temporarily
            suspended may be present at the preliminary hearing and may be represented by counsel,
            cross examine witnesses, inspect physical evidence, call witnesses, offer evidence
            and testimony and make a record of the proceedings  if it is determined that there
            is not a prima facie case, the suspended license, certificate, registration or permit
            shall be immediately restored  the temporary suspension shall remain in effect until
            vacated by the licensing board or commission, but in no event longer than 180 days   (c)  restoration   restoration of a license, certificate, registration or permit shall
            be made as provided by law in the case of revocation or suspension of the license,
            certificate, registration or permit   20180006u3s  section 3   section 5(a), (b), (d 1), (d 3) and (d 4) of the act are amended to read   section 5   civil penalties   (a)  authorization     (1) the commissioner of professional and occupational affairs, after consultation with
            the licensing boards and commissions, shall have the power to adopt a schedule of
            civil penalties for operating without a current, registered, unsuspended and unrevoked
            license, registration, certificate or permit and for violating any provision of their
            respective acts or regulations relating to the conduct or operation of a business
            or facility licensed by such licensing boards and commissions  the schedule of penalties
            shall not be applicable to disciplinary matters under the jurisdiction of a licensing
            board or commission unless that licensing board or commission has approved the schedule 
            the schedule of penalties, guidelines for their imposition and procedures for appeal
            shall be published in the pennsylvania bulletin, provided that the commissioner shall,
            within two years of such publication, promulgate a regulation setting forth the schedule
            of penalties, guidelines and procedures  any such penalty shall not exceed the sum
            of  1,000 per violation  duly authorized agents of the bureau shall have the power
            and authority to issue citations and impose penalties for any such violations  any
            such penalty imposed may be appealed to a hearing examiner or the licensing board
            or commission pursuant to the regulations promulgated under section 3(b)  if the appeal
            is initially to a hearing examiner, the relevant licensing board or commission shall
            render a decision on any exceptions to the decision of the hearing examiner or on
            any applications for review in accordance with section 3(d)  all proceedings shall
            be conducted in accordance with the provisions of 2 pa c s  (relating to administrative
            law and procedure)   (2)  the commissioner of professional and occupational affairs shall expunge the disciplinary
            record of a licensee, registrant, certificate holder or permit holder if the imposition
            of discipline was for a violation involving failure to complete continuing education
            requirements or practicing for six months or less on a lapsed license, registration,
            certificate or permit, subject to the following   (i)  the licensee, registrant, certificate holder or permit holder must make written application
            to the commissioner for expungement not earlier than four years from the final disposition
            of the disciplinary record   (ii)  the disciplinary record must be the only disciplinary record that the licensee, registrant,
